date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2020/02/29,2020,2,29,chokepoint1,Suez Canal,11,13,5,6,13,35,48,848982,748248,30385,19483,472450,1647099,2119550,26
2020/03/01,2020,3,1,chokepoint1,Suez Canal,14,15,4,4,12,37,49,586416,614852,23080,26194,372491,1250543,1623035,27
2019/01/02,2019,1,2,chokepoint1,Suez Canal,24,4,6,6,10,40,50,1534924,227315,8536,37934,518306,1808711,2327017,28
2020/03/02,2020,3,2,chokepoint1,Suez Canal,11,18,5,3,22,37,59,559585,888889,36293,4074,1032734,1488843,2521577,29
2019/01/03,2019,1,3,chokepoint1,Suez Canal,13,14,9,2,24,38,62,555097,977689,39398,10829,868092,1583014,2451107,30
2020/03/03,2020,3,3,chokepoint1,Suez Canal,15,12,8,3,11,38,49,984171,774068,18705,19931,341101,1796878,2137979,31
2019/01/04,2019,1,4,chokepoint1,Suez Canal,17,11,2,2,15,32,47,1044184,430139,3673,3430,836954,1481428,2318382,32
2020/03/04,2020,3,4,chokepoint1,Suez Canal,17,12,3,3,16,35,51,1177582,697592,18640,12918,605655,1906734,2512389,33
2019/01/05,2019,1,5,chokepoint1,Suez Canal,19,9,1,1,13,30,43,1215509,777548,4587,5567,628481,2003212,2631693,34
2019/01/06,2019,1,6,chokepoint1,Suez Canal,13,12,6,0,18,31,49,832089,664305,27559,0,314955,1523954,1838909,35
2020/03/05,2020,3,5,chokepoint1,Suez Canal,16,7,5,1,8,29,37,986481,477888,40288,3470,220623,1508129,1728752,36
2020/03/06,2020,3,6,chokepoint1,Suez Canal,15,16,7,4,19,42,61,590842,1020992,39109,11478,719435,1662422,2381857,37
2019/01/07,2019,1,7,chokepoint1,Suez Canal,9,14,6,2,16,31,47,434155,711501,33826,5124,894303,1184608,2078911,38
2019/01/08,2019,1,8,chokepoint1,Suez Canal,21,9,5,3,10,38,48,1418046,452795,9552,16898,868355,1897292,2765647,39
2020/03/07,2020,3,7,chokepoint1,Suez Canal,18,14,4,1,16,37,53,1017794,894052,21403,7839,1132751,1941089,3073840,40
2019/01/09,2019,1,9,chokepoint1,Suez Canal,18,14,5,1,21,38,59,1303088,452256,21889,4875,824016,1782110,2606126,41
